ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,FanDuel,Winamax (FR),Winamax (DE),Betclic (FR),Betsson,Nordic Bet,Betfair,DraftKings,Unibet (SE),LeoVegas (SE),BetMGM,Pinnacle,Matchbook,Polymarket,Kalshi,GTbets,Novig,Coolbet,888sport,Unibet (NL),BetRivers,ProphetX,BetOnline.ag,LowVig.ag,Bovada,BetUS,1xBet,BetOpenly,William Hill,Marathon Bet,Everygame,Parions Sport (FR),Vigfree FanDuel,Vigfree Winamax (FR),Vigfree Winamax (DE),Vigfree Betclic (FR),Vigfree Betsson,Vigfree Nordic Bet,Vigfree Betfair,Vigfree DraftKings,Vigfree Unibet (SE),Vigfree LeoVegas (SE),Vigfree BetMGM,Vigfree Pinnacle,Vigfree Matchbook,Vigfree Polymarket,Vigfree Kalshi,Vigfree GTbets,Vigfree Novig,Vigfree Coolbet,Vigfree 888sport,Vigfree Unibet (NL),Vigfree BetRivers,Vigfree ProphetX,Vigfree BetOnline.ag,Vigfree LowVig.ag,Vigfree Bovada,Vigfree BetUS,Vigfree 1xBet,Vigfree BetOpenly,Vigfree William Hill,Vigfree Marathon Bet,Vigfree Everygame,Vigfree Parions Sport (FR),Tipico,Codere (IT),Vigfree Tipico,Vigfree Codere (IT),Start Date,Unibet (FR),BetAnything,Vigfree Unibet (FR),Vigfree BetAnything,Suprabets,PMU (FR),Vigfree Suprabets,Vigfree PMU (FR),MyBookie.ag,Vigfree MyBookie.ag,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
7b864d6a5f95914b4098493bca7a3532,basketball_ncaab,NCAAB,2026-02-15T17:01:31Z,2026-02-15T18:52:01Z,Maryland Terrapins @ Rutgers Scarlet Knights,Maryland Terrapins,8.5,,,,,5.6,,6.5,,,7.0,,,10.0,10.0,6.22,,,5.75,10.0,9.0,6.9,,,,,,,,,,,0.0871,,,,,0.1306,,0.1265,,,0.1127,,,0.0913,0.0913,0.1299,,,0.1324,0.0692,0.0701,0.1179,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,10.0,9.49,0.05,2.0,Not Found
49099f3e4864abdf1bd1aea99f34a5d8,basketball_ncaab,NCAAB,2026-02-15T18:00:00Z,2026-02-15T18:52:01Z,Manhattan Jaspers @ Canisius Golden Griffins,Canisius Golden Griffins,4.6,,,,,3.95,,,,,4.75,,,5.88,6.25,4.48,,,4.0,6.5,5.6,4.25,,,,,,,,,,,0.185,,,,,0.2029,,,,,0.1815,,,0.1649,0.1563,0.1914,,,0.2083,0.1182,0.1306,0.2078,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,5.88,5.72,0.03,2.0,Not Found
d600ca0160dfb31f6fb1d2df10c2bc47,basketball_ncaab,NCAAB,2026-02-15T19:02:23Z,2026-02-15T19:19:43Z,Bradley Braves @ Southern Illinois Salukis,Southern Illinois Salukis,3.4,,,,,3.15,,3.4,,,2.75,,,3.85,4.35,,,,3.0,3.05,2.9,3.3,,,,,,,,,,,0.2624,,,,,0.2681,,0.2624,,,0.3346,,,0.2511,0.2212,,,,0.2907,0.2936,0.2993,0.2727,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,3.85,3.63,0.06,2.0,Not Found
2c128b79671429f16d8483e66c331ebc,basketball_ncaab,NCAAB,2026-02-15T19:02:40Z,2026-02-15T19:19:43Z,Fairfield Stags @ Saint Peter's Peacocks,Fairfield Stags,2.58,,,,,2.85,,2.85,,,2.9,,,3.23,3.45,2.69,,,2.7,3.0,2.65,2.66,,,,,,,,,,,0.356,,,,,0.3023,,0.3208,,,0.3153,,,0.3002,,0.341,,,0.328,0.299,0.3264,0.3478,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,3.23,3.09,0.05,2.0,Not Found
bd2d3a30650ecac7e8ddbe85795ecff8,basketball_ncaab,NCAAB,2026-02-15T19:02:55Z,2026-02-15T19:19:43Z,Oakland Golden Grizzlies @ Robert Morris Colonials,Robert Morris Colonials,2.06,,,,,1.96,,2.05,,,2.0,,,2.27,2.27,1.93,1.09,,2.0,2.33,2.02,2.1,,,,,,,1.73,,,,0.452,,,,,0.461,,0.4565,,,0.4722,,,0.4346,0.4346,0.4888,,,0.4559,0.3941,0.4481,0.4474,,,,,,,0.539,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,2.27,2.19,0.04,2.0,Not Found
b5fc96661bb3a5cd2e03f13d569bc5c4,basketball_ncaab,NCAAB,2026-02-15T19:05:17Z,2026-02-15T19:19:43Z,South Florida Bulls @ Florida Atlantic Owls,Florida Atlantic Owls,3.1,,,,,3.05,,4.1,,,4.0,,,3.85,3.33,2.69,2.4,,3.75,3.6,4.5,2.96,,,,,,,,,,,0.2936,,,,,0.2793,,0.2121,,,0.2218,,,0.2539,,0.341,0.3794,,0.2235,0.2483,0.1801,0.3092,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,3.85,3.74,0.03,2.0,Not Found
834cd912b2a835db0873d70322278afa,basketball_ncaab,NCAAB,2026-02-15T19:05:42Z,2026-02-15T19:43:29Z,Tulane Green Wave @ UAB Blazers,UAB Blazers,2.76,,,,,2.75,,2.9,,,3.1,1.24,,3.23,3.23,3.6,2.93,,2.8,2.9,2.8,2.86,,,,,,,,,,,0.3315,,,,,0.3142,,0.3153,,,0.2936,0.783,,0.3051,0.3051,0.2483,0.3057,,0.3109,0.3101,0.3109,0.3202,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,3.23,2.92,0.11,2.0,Not Found
d866dcc1d1b50494132050f5ee61a0cd,basketball_ncaab,NCAAB,2026-02-15T19:00:00Z,2026-02-15T19:43:29Z,Iona Gaels @ Niagara Purple Eagles,Niagara Purple Eagles,1.96,,,,,1.76,,,,,1.98,,,2.22,2.17,1.93,,,1.8,1.93,1.88,1.96,,,,,,,,,,,0.4773,,,,,0.5181,,,,,0.4747,,,0.4395,0.4511,0.4888,,,0.5075,0.4828,0.4835,0.4789,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,2.22,2.08,0.07,2.0,Not Found
0ee4a18147d583ed1cea44af817dcf1f,basketball_ncaab,NCAAB,2026-02-15T19:02:35Z,2026-02-15T19:43:29Z,Merrimack Warriors @ Quinnipiac Bobcats,Quinnipiac Bobcats,1.36,,,,,1.38,,1.42,,,1.4,,,1.56,1.56,1.54,,,1.4,1.36,1.36,1.5,,,,,,,,,,,0.7064,,,,,0.67,,0.6735,,,0.6847,,,0.6353,0.6353,0.6198,,,0.672,0.701,0.6891,0.638,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,1.56,1.5,0.04,2.0,Not Found
f4fe59fad696480d9613acd6d8701228,basketball_ncaab,NCAAB,2026-02-15T19:02:53Z,2026-02-15T19:43:29Z,Indiana St Sycamores @ Valparaiso Beacons,Indiana St Sycamores,6.0,,,,,4.2,,4.6,,,4.1,,,5.56,5.56,4.19,,,4.25,4.75,4.35,4.4,,,,,,,,,,,0.1369,,,,,0.188,,0.1885,,,0.2121,,,0.1733,0.1733,0.2095,,,0.1903,0.1779,0.1839,0.2004,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Polymarket,5.56,5.41,0.03,2.0,Not Found
