ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Outcomes,Result
ce7f99e1c0b913c7c609fd0be996f730,soccer_germany_bundesliga2,Bundesliga 2 - Germany,2026-02-15T12:30:00Z,2026-02-15T11:55:41Z,SC Paderborn @ VfL Bochum,VfL Bochum,2026-02-15,,,3.0,Not Found
b5085cc1ac313f645a18bbc9ac58d7df,soccer_spain_la_liga,La Liga - Spain,2026-02-15T13:00:00Z,2026-02-15T13:11:25Z,Athletic Bilbao @ Oviedo,Oviedo,2026-02-15,,,3.0,Not Found
d5578b79b458761e4fb04a7ac61b2e33,soccer_poland_ekstraklasa,Ekstraklasa - Poland,2026-02-15T13:45:00Z,2026-02-15T13:11:25Z,Arka Gdynia @ Pogoń Szczecin,Pogoń Szczecin,2026-02-15,,,3.0,Not Found
894159cef0af572fe75695fd50bfcbd5,soccer_belgium_first_div,Belgium First Div,2026-02-15T15:00:00Z,2026-02-15T14:55:58Z,Westerlo @ Royal Antwerp,Draw,2026-02-15,,,3.0,Not Found
a5b65d77cd063f260438df410059a3dd,soccer_italy_serie_a,Serie A - Italy,2026-02-15T14:00:00Z,2026-02-15T15:35:45Z,Genoa @ Cremonese,Genoa,2026-02-15,,,3.0,Not Found
cbc34052b78f4fc88025ef42a9eeb8d6,soccer_italy_serie_a,Serie A - Italy,2026-02-15T14:00:00Z,2026-02-15T15:35:45Z,Hellas Verona @ Parma,Parma,2026-02-15,,,3.0,Not Found
4008b8296bc717d12743f7fa654ff49f,soccer_turkey_super_league,Turkey Super League,2026-02-15T14:03:00Z,2026-02-15T15:35:45Z,Kayserispor @ Goztepe,Draw,2026-02-15,,,3.0,Not Found
0c167eb18455dd93b9d61c0b8264996f,soccer_spain_segunda_division,La Liga 2 - Spain,2026-02-15T15:15:00Z,2026-02-15T15:35:45Z,Real Racing Club de Santander @ SD Eibar,Real Racing Club de Santander,2026-02-15,,,3.0,Not Found
fdbc54a62aee18d435e9f889c40f16f6,soccer_france_ligue_one,Ligue 1 - France,2026-02-15T16:15:00Z,2026-02-15T15:35:45Z,Angers @ Lorient,Angers,2026-02-15,,,3.0,Not Found
0e43639b6f6d5459792fae67d74f1daa,soccer_chile_campeonato,Primera División - Chile,2026-02-15T15:03:00Z,2026-02-15T15:55:17Z,Deportes Concepción @ Universidad de Concepción,Universidad de Concepción,2026-02-15,,,3.0,Not Found
