Match,League,Team,Start Time,Outlier Book,Outlier Odds,Z Score,Avg Edge Pct,Result,Scrape Time
FC Porto @ Rio Ave FC,Primeira Liga - Portugal,Draw,2025-09-19 15:15:00,Pinnacle,6.17,2.07,6.86,Not Found,2025-09-19 14:45:02
Angers @ Lyon,Ligue 1 - France,Angers,2025-09-19 14:45:00,BetOnline.ag,7.8,2.54,6.58,Not Found,2025-09-19 14:45:02
Dender @ Gent,Belgium First Div,Dender,2025-09-19 14:46:00,Suprabets,12.0,2.35,9.76,Not Found,2025-09-19 15:08:12
Clermont @ Rodez AF,Ligue 2 - France,Clermont,2025-09-19 14:00:00,DraftKings,4.9,2.18,5.23,Clermont,2025-09-19 15:08:12
Västerås IK @ AIK,HockeyAllsvenskan,Draw,2025-09-19 13:02:00,Coolbet,6.5,2.03,6.24,Not Found,2025-09-19 15:24:01
Bari @ Palermo,Serie B - Italy,Bari,2025-09-19 15:03:00,Pinnacle,6.23,2.24,5.68,Not Found,2025-09-19 16:11:29
Cagliari @ Lecce,Serie A - Italy,Lecce,2025-09-19 14:50:00,DraftKings,41.0,2.02,27.16,Not Found,2025-09-19 16:31:09
Gimnasia La Plata @ Deportivo Riestra,Primera División - Argentina,Draw,2025-09-19 15:59:00,Bet Victor,9.0,2.04,7.28,Not Found,2025-09-19 17:48:30
Cronulla Sutherland Sharks @ Canberra Raiders,NRL,Draw,2025-09-20 05:50:00,Marathon Bet,27.0,2.07,19.85,Not Found,2025-09-20 04:35:10
Sangju Sangmu FC @ Jeonbuk Hyundai Motors,K League 1,Jeonbuk Hyundai Motors,2025-09-20 03:30:00,DraftKings,23.0,2.04,26.3,Not Found,2025-09-20 04:49:47
