Match,Team,Start Time,League,888Sport,Pointsbet (Au),Coolbet,Winamax (De),Winamax (Fr),Gtbets,Betmgm,Bovada,Betway,Tipico,Betsson,Nordic Bet,Fanduel,Paddy Power,Ladbrokes,Bet Victor,Pinnacle,Leovegas (Se),Unibet (Se),Unibet,Livescore Bet,Virgin Bet,Draftkings,Sky Bet,Caesars,Mybookie.Ag,Leovegas,Unibet (Nl),Unibet (It),Betrivers,Tab,Unibet (Fr),Fanatics,Betclic (Fr),Betr,Sportsbet,Bet Right,Playup,Marathon Bet,Parions Sport (Fr),1Xbet,William Hill,Casumo,Grosvenor,Tabtouch,Lowvig.Ag,Betonline.Ag,Neds,Coral,Dabble Au,Betus,Everygame,Boylesports,Betanysports,Fair Odds Avg,Avg Edge Pct,Modified Z Score,Best Odds,Best Bookmaker,Result,Scrape Time
Detroit Lions @ Baltimore Ravens,Baltimore Ravens,2025-09-22 20:16:07,NFL,1.3,1.36,1.3,,,1.35,1.33,1.33,1.3,1.3,1.26,1.26,1.34,1.36,,1.3,1.56,,1.35,1.35,,,1.3,,1.33,1.3,1.33,1.35,1.35,1.35,1.28,1.36,1.29,1.26,,,,,,,,,,,,,,,,,,,,,1.42,10.21,5.17,1.56,Pinnacle,Not Found,2025-09-22 20:46:34
Newells Old Boys @ Belgrano de Cordoba,Newells Old Boys,2025-09-22 19:59:00,Primera División - Argentina,,,,,,,12.0,4.65,13.0,,14.0,14.0,11.0,13.0,12.0,15.0,4.95,17.0,21.0,20.0,17.0,17.0,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61,66.51,2.36,21.0,Unibet (SE),Not Found,2025-09-22 20:46:34
Washington Nationals @ Atlanta Braves,Atlanta Braves,2025-09-22 19:17:00,MLB,,,,1.01,1.01,1.03,1.01,,1.01,,,,,,,,1.06,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,3.37,1.06,Pinnacle,Not Found,2025-09-22 21:47:34
St. Louis Cardinals @ San Francisco Giants,St. Louis Cardinals,2025-09-22 21:45:51,MLB,2.25,1.9,1.9,1.9,1.62,2.12,1.95,2.23,1.91,2.1,1.96,1.96,1.72,1.95,,1.85,1.81,1.91,1.97,1.97,1.95,1.95,1.88,,1.87,1.8,1.93,1.97,1.97,1.93,2.0,,1.95,,,,,,,,,,1.97,1.93,1.94,,,,,,,,,,2.06,9.23,5.06,2.25,888sport,Not Found,2025-09-22 22:49:33

