Match,Team,Start Time,League,Last Update,Coral,Ladbrokes,Pointsbet (Au),Betway,Bovada,Virgin Bet,Leovegas,Unibet,Casumo,Grosvenor,Tabtouch,Livescore Bet,Fanduel,888Sport,Betsson,Fanatics,Paddy Power,Nordic Bet,Winamax (De),Winamax (Fr),Tab,Draftkings,Caesars,Unibet (It),Unibet (Nl),Betmgm,Pinnacle,Coolbet,Gtbets,Tipico,Mybookie.Ag,Betrivers,Bet Victor,Sky Bet,Betclic (Fr),Sportsbet,Unibet (Fr),1Xbet,Marathon Bet,Betr,William Hill,Parions Sport (Fr),Neds,Lowvig.Ag,Betonline.Ag,Bet Right,Playup,Everygame,Betus,Dabble Au,Boylesports,Betanysports,Boombet,Bet365 Au,Avg Edge Pct,Fair Odds Avg,Best Odds,Best Bookmaker,Result,Scrape Time
New York Yankees @ Houston Astros,New York Yankees,2025-09-02 20:12:00,MLB,2025-09-02 20:54:54,,,1.31,1.3,1.23,1.29,1.27,1.28,1.28,1.28,1.28,1.28,1.3,1.29,1.28,1.3,1.3,1.28,1.34,1.3,1.3,1.3,1.26,1.28,1.28,1.31,1.26,1.32,1.32,1.27,1.25,1.27,,,,,,,,,1.8,,,,,,,,,,,,,,30.13,1.383,1.8,William Hill,New York Yankees,2025-09-02 20:55:08
Taylor Fritz @ Novak Djokovic,Taylor Fritz,2025-09-02 19:45:00,ATP US Open,2025-09-02 20:55:03,3.1,3.1,3.3,2.75,3.6,3.05,3.0,3.05,3.05,3.0,3.05,3.0,3.0,3.0,2.91,2.9,3.0,2.83,2.95,2.7,3.6,2.95,4.2,3.05,3.05,3.0,4.04,4.2,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,26.5,3.32,4.2,Coolbet,Not Found,2025-09-02 20:55:08
Chicago White Sox @ Minnesota Twins,Minnesota Twins,2025-09-04 21:10:00,MLB,2025-09-05 00:12:25,,,16.0,15.0,,,,,,,,,11.6,12.0,15.0,,11.0,15.0,22.0,21.0,,12.2,26.0,,,16.5,,15.5,9.97,20.0,,,,,,,,,,,,,,,,,,,,,,,,,70.23,15.274,26.0,Caesars,Chicago White Sox,2025-09-05 00:27:10
New Zealand Warriors @ Manly Warringah Sea Eagles,Draw,2025-09-05 04:00:00,NRL,2025-09-05 00:26:41,21.0,21.0,,,20.0,,,,,,,,,,22.0,,,22.0,22.0,23.0,,,,,,,,,,20.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,24.89,24.02,30.0,Marathon Bet,Not Found,2025-09-05 00:27:10
Dallas Cowboys @ Philadelphia Eagles,Philadelphia Eagles,2025-09-04 20:23:02,NFL,2025-09-05 00:16:57,,,,1.01,,,,,,,,,1.01,,1.03,1.01,,1.03,,,,1.02,1.08,,,1.07,1.24,1.02,1.01,,,,,,1.02,,,,,,,,,,,,,,,,,,,,24.0,1.0,1.24,Pinnacle,Dallas Cowboys,2025-09-05 00:27:10
South Sydney Rabbitohs @ Sydney Roosters,Draw,2025-09-05 06:00:00,NRL,2025-09-05 05:00:17,21.0,21.0,,,24.0,,,,,,,,,,25.0,,,25.0,27.0,28.0,,,,,,,,,,20.0,,,,,,,,,34.0,,,,,,,,,,,,,,,,28.41,26.478,34.0,Marathon Bet,Not Found,2025-09-05 05:00:20
UAE @ Afghanistan,UAE,2025-09-05 11:00:00,International Twenty20,2025-09-05 04:59:42,,5.75,5.5,5.25,,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.3,,5.3,,5.5,5.3,,,5.5,5.25,,,,,,,,,,,5.2,,,5.75,,,6.0,5.5,6.0,,5.75,,,5.75,5.75,,,,6.0,,,,7.92,6.255,6.75,Unibet,Not Found,2025-09-05 05:00:20
Hiroshima Toyo Carp @ Hanshin Tigers,Hiroshima Toyo Carp,2025-09-05 05:01:00,NPB,2025-09-05 05:23:50,,,,10.0,2.5,,,,,,,,13.0,12.0,11.0,7.6,,11.0,,,,12.0,10.0,,,12.5,4.24,10.0,,9.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,66.23,7.82,13.0,FanDuel,Not Found,2025-09-05 05:24:04
Tohoku Rakuten Golden Eagles @ Fukuoka SoftBank Hawks,Fukuoka SoftBank Hawks,2025-09-05 05:00:00,NPB,2025-09-05 05:21:55,,,,1.09,1.57,,,1.09,,,,,1.09,,1.12,1.08,,1.12,,,,1.11,,,,1.06,,1.11,,1.08,1.08,1.08,,,,,,,,,,,,,,,,,,,,,,,30.4,1.204,1.57,Bovada,Not Found,2025-09-05 05:24:04
Chiba Lotte Marines @ Saitama Seibu Lions,Saitama Seibu Lions,2025-09-05 05:00:00,NPB,2025-09-05 05:23:50,,,,1.67,1.91,,,1.7,,,,,1.63,,1.72,1.59,,1.72,,,,1.74,1.74,,,1.62,1.65,1.7,,1.7,1.6,1.71,,,,,,,,,,,,,,,,,,,,,,,5.32,1.814,1.91,Bovada,Not Found,2025-09-05 05:24:04
Belarus @ Greece,Belarus,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 05:35:41,15.0,15.0,,12.0,,14.0,16.0,15.0,15.0,,,14.0,,15.0,18.5,,15.0,18.5,16.0,15.0,,,,,,,16.15,18.0,,,,,17.0,13.0,15.75,15.0,,16.0,,,15.0,14.5,,,17.0,,,,,,,,,,13.42,16.311,18.5,Nordic Bet,Not Found,2025-09-05 05:36:16
Kiwoom Heroes @ Samsung Lions,Kiwoom Heroes,2025-09-05 05:30:00,KBO,2025-09-05 05:29:36,3.3,,,2.75,3.3,,,2.85,,,,,2.9,,,2.7,,3.05,,,,2.8,2.6,,,2.75,3.41,2.95,,2.7,3.24,2.75,,,,,,3.28,,,3.25,2.9,,3.52,3.52,,,3.0,,,,,,,9.72,3.208,3.52,BetOnline.ag,Not Found,2025-09-05 05:36:16
Lotte Giants @ SSG Landers,Lotte Giants,2025-09-05 05:30:00,KBO,2025-09-05 05:29:36,2.5,,,2.75,2.45,,,2.8,,,,,3.0,,2.5,2.7,,2.78,,,,2.9,2.6,,,2.9,2.53,2.72,,2.6,2.45,2.65,,,,,,2.49,,,2.5,2.25,,2.63,2.63,,,2.4,,,,,,,7.58,2.789,3.0,FanDuel,Not Found,2025-09-05 05:36:16
Azerbaijan @ Iceland,Azerbaijan,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 05:35:41,6.5,6.5,,6.0,,6.25,6.75,6.75,6.75,,,6.1,,6.0,7.4,,7.0,7.4,7.25,7.0,,7.0,,,,,7.38,7.5,,,,6.75,7.0,6.5,,7.0,,7.38,,,6.0,6.7,,,7.75,,,,,,,,,,6.98,7.244,7.75,BetOnline.ag,Not Found,2025-09-05 05:36:16
Tokyo Yakult Swallows @ Yokohama DeNA BayStars,Yokohama DeNA BayStars,2025-09-05 05:00:53,NPB,2025-09-05 05:38:40,,,,1.33,1.54,,,1.33,,,,,1.34,1.29,1.32,1.27,,1.32,,,,1.36,1.33,,,1.31,,1.33,,1.3,1.65,1.32,,,,,,,,,,,,,,,,,,,,,,,13.71,1.451,1.65,MyBookie.ag,Not Found,2025-09-05 05:44:54
Brisbane Lions @ Geelong Cats,Geelong Cats,2025-09-05 05:40:00,AFL,2025-09-05 05:44:39,1.85,1.85,1.87,,1.69,1.64,1.63,1.64,1.64,1.63,,1.64,,,1.62,,1.67,1.62,,,1.7,1.71,,,1.64,,1.69,,,,,,,,,1.66,,,1.67,1.67,,,1.7,,,1.72,1.71,1.65,1.69,1.7,,,1.69,2.0,10.89,1.804,2.0,Bet365 AU,Not Found,2025-09-05 05:44:54
Croatia @ Faroe Islands,Faroe Islands,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 05:43:51,12.0,12.0,,10.0,,13.0,15.0,15.0,15.0,,,13.0,,12.0,12.5,,14.0,12.5,12.5,12.5,,12.0,,15.0,15.0,,12.66,14.0,,,,15.0,13.0,,,14.0,,14.0,,,12.0,,,,13.5,,,,,,,,,,7.53,13.95,15.0,Unibet (IT),Not Found,2025-09-05 05:44:54
Yomiuri Giants @ Chunichi Dragons,Yomiuri Giants,2025-09-05 05:00:00,NPB,2025-09-05 05:44:23,,,,1.8,1.95,,,1.81,,,,,1.83,1.7,1.75,1.65,,1.75,,,,1.8,1.77,,,1.69,2.03,1.75,,1.7,1.8,1.77,,,,,,,,,,,,,,,,,,,,,,,5.96,1.916,2.03,Pinnacle,Not Found,2025-09-05 05:44:54
Doosan Bears @ NC Dinos,NC Dinos,2025-09-05 05:30:58,KBO,2025-09-05 05:51:16,,,,1.71,1.67,,,1.73,,,,,1.76,,,1.71,,1.78,,,,1.74,2.0,,,1.71,1.81,1.95,,1.7,1.65,1.7,,,,,,,,,1.73,,,,,,,,,,,,,,6.38,1.88,2.0,Caesars,Not Found,2025-09-05 05:52:20
Hokkaido Nippon-Ham Fighters @ Orix Buffaloes,Orix Buffaloes,2025-09-05 06:30:44,NPB,2025-09-05 06:53:44,,,,2.1,1.95,,,2.14,,,,,2.46,2.05,2.12,1.95,,2.12,,,,2.1,2.05,,,2.25,2.28,2.03,,2.0,2.1,2.02,,,,,,,,,2.19,,,,,,,,,,,,,,8.83,2.26,2.46,FanDuel,Not Found,2025-09-05 06:54:19
Scotland @ Denmark,Scotland,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 11:31:13,6.0,6.0,,5.5,,5.75,6.1,6.1,6.1,,,5.75,,6.0,5.9,,6.0,5.9,6.75,6.5,,6.0,,,6.1,,6.37,6.5,,,,6.0,7.0,5.5,6.35,6.0,,6.14,,,6.0,,,,6.4,,,,,,,,,,8.26,6.466,7.0,Bet Victor,Not Found,2025-09-05 11:32:27
Salvador Juarez @ Charlie Edwards,Draw,2025-09-05 14:00:00,Boxing,2025-09-05 12:32:21,17.0,17.0,,17.0,,19.0,19.0,19.0,,19.0,19.0,19.0,,17.0,18.0,,21.0,18.0,,,,,,19.0,19.0,17.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,6.34,19.749,21.0,Paddy Power,Not Found,2025-09-05 12:33:55
Estonia @ Italy,Draw,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 13:36:17,15.0,15.0,,12.0,,11.5,14.0,14.0,14.0,,,11.5,,13.0,17.0,,17.0,17.0,15.0,14.0,,15.0,,14.0,14.0,,18.5,14.0,,,,14.0,15.0,15.0,,17.0,,18.0,,,13.0,12.5,,,17.5,,,,,,,,,,24.14,14.903,18.5,Pinnacle,Not Found,2025-09-05 13:37:15
CD Mirandés @ Albacete,CD Mirandés,2025-09-05 13:31:00,La Liga 2 - Spain,2025-09-05 13:36:39,4.0,4.2,4.0,4.0,4.65,4.1,4.1,4.25,4.25,4.1,4.1,4.1,4.0,,3.9,,4.0,3.9,3.85,3.75,,4.3,,4.25,4.25,4.2,4.95,4.0,,4.0,,,4.1,3.75,3.8,4.33,4.3,4.63,4.6,4.4,4.4,4.15,4.2,4.35,4.2,,,,,,,,,,8.44,4.565,4.95,Pinnacle,Not Found,2025-09-05 13:37:15
Hampshire @ Durham,Hampshire,2025-09-05 13:30:00,T20 Blast,2025-09-05 13:29:55,1.4,1.4,,1.45,,1.42,1.41,1.42,1.42,1.41,1.42,1.42,,,1.38,,1.4,1.38,,,,,,,,,1.74,,,,,,1.4,,,1.76,,,1.75,,1.73,,,,1.74,,,,,,,,,,10.76,1.589,1.76,SportsBet,Not Found,2025-09-05 13:44:49
Washington Nationals @ Chicago Cubs,Washington Nationals,2025-09-05 14:21:00,MLB,2025-09-05 14:35:55,,,4.75,5.5,2.9,5.0,5.0,5.4,5.4,5.0,5.0,5.0,4.9,4.75,5.08,5.1,5.0,5.08,5.5,5.0,2.8,5.35,5.0,5.1,5.4,5.0,3.25,5.5,5.54,5.0,3.8,4.9,4.8,,,,2.65,,,,2.75,,,2.84,,,,,,,,,,,17.52,4.714,5.54,GTbets,Not Found,2025-09-05 14:36:44
Czechia @ Montenegro,Montenegro,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 14:44:53,11.0,11.0,,11.0,,12.0,12.0,13.0,13.0,,,12.0,,9.5,12.5,,13.0,12.5,9.0,8.5,,13.0,,13.0,13.0,,5.42,11.0,,,,11.5,5.25,13.0,,5.0,,5.34,,,5.0,,,,5.15,,,,,,,,,,34.53,9.663,13.0,Paddy Power,Not Found,2025-09-05 14:50:04
Kosovo @ Switzerland,Kosovo,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 14:44:53,7.0,7.0,,6.0,,7.0,7.0,7.5,7.5,,,7.0,,7.0,7.2,,8.0,7.2,6.25,6.0,,8.5,,,7.5,,7.85,7.25,,,,7.0,7.0,8.0,6.5,8.0,,7.11,,,7.0,6.6,,,7.95,,,,,,,,,,10.08,7.722,8.5,DraftKings,Not Found,2025-09-05 14:50:04
Israel @ Moldova,Moldova,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 14:44:53,5.5,5.5,,5.5,,5.3,5.25,5.5,5.5,,,5.3,,6.0,5.8,,6.0,5.8,5.1,4.8,,6.0,,5.5,5.5,,6.42,5.75,,,,5.25,5.75,6.0,,6.0,,5.31,,,6.0,5.6,,,6.58,,,,,,,,,,8.0,6.092,6.58,BetOnline.ag,Not Found,2025-09-05 14:50:04
France @ Ukraine,Ukraine,2025-09-05 14:45:00,FIFA World Cup Qualifiers - Europe,2025-09-05 14:44:53,8.0,8.0,,8.0,,8.0,8.0,8.5,8.5,,,8.0,,9.0,9.1,,9.0,9.1,7.75,7.25,,10.0,,,,,9.6,9.25,,,,8.0,9.0,8.0,8.75,9.5,,9.09,,,9.0,10.0,,,10.0,,,,,,,,,,6.63,9.378,10.0,BetOnline.ag,Not Found,2025-09-05 14:50:04
