Match,League,Team,Start Time,Random Bet Book,Random Bet Odds,Result,Scrape Time
FC Kairat @ Sporting Lisbon,UEFA Champions League,FC Kairat,2025-09-18 15:00:00,Betsson,41.0,Not Found,2025-09-18 14:55:32
Färjestad BK @ Skellefteå AIK,SHL,Draw,2025-09-18 13:01:00,Unibet,6.75,Not Found,2025-09-18 14:55:32
Leksands IF @ Malmö Redhawks,SHL,Leksands IF,2025-09-18 13:00:00,Coolbet,3.5,Not Found,2025-09-18 14:55:32
Toronto Blue Jays @ Tampa Bay Rays,MLB,Tampa Bay Rays,2025-09-18 13:11:00,Bovada,1.26,Not Found,2025-09-18 14:55:32
