Match,League,Team,Start Time,Pinnacle Edge Book,Pinnacle Edge Odds,Pin Edge Pct,Pinnacle Fair Odds,Result,Scrape Time
San Diego Padres @ New York Mets,MLB,New York Mets,2025-09-18 13:11:00,Bovada,1.69,58.72,1.065,Not Found,2025-09-18 14:55:32
Cleveland Guardians @ Detroit Tigers,MLB,Cleveland Guardians,2025-09-18 13:11:00,Bovada,3.55,50.72,2.355,Not Found,2025-09-18 14:55:32
FC Kairat @ Sporting Lisbon,UEFA Champions League,FC Kairat,2025-09-18 15:00:00,Betsson,41.0,45.03,28.271,Not Found,2025-09-18 14:55:32
Toronto Blue Jays @ Tampa Bay Rays,MLB,Tampa Bay Rays,2025-09-18 13:11:00,Bovada,1.26,11.62,1.129,Not Found,2025-09-18 14:55:32
Seattle Mariners @ Kansas City Royals,MLB,Seattle Mariners,2025-09-18 14:11:00,Bovada,1.85,10.63,1.672,Not Found,2025-09-18 14:55:32
Oakland Athletics @ Boston Red Sox,MLB,Boston Red Sox,2025-09-18 13:36:00,Casumo,3.05,9.24,2.792,Not Found,2025-09-18 14:55:32
Napoli @ Manchester City,UEFA Champions League,Napoli,2025-09-18 15:00:00,Suprabets,6.2,5.84,5.858,Not Found,2025-09-18 14:55:32
