Match,League,Team,Start Time Est,Pinnacle Edge Book,Pinnacle Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Pinnacle Fair Odds,Pin Edge Pct,Result
Nashville Predators @ Winnipeg Jets,NHL,Nashville Predators,2025-10-18 19:21:18,FanDuel,12.0,2025-10-18 20:51:51,2025-10-18 23:21:18,2025-10-19 00:51:51,8.94,34.16,Winnipeg Jets
New York Rangers @ Montréal Canadiens,NHL,New York Rangers,2025-10-18 19:15:21,FanDuel,4.0,2025-10-18 20:51:51,2025-10-18 23:15:21,2025-10-19 00:51:51,3.6,11.16,New York Rangers
Carolina Hurricanes @ Los Angeles Kings,NHL,Carolina Hurricanes,2025-10-18 21:08:59,BetMGM,1.31,2025-10-18 22:43:57,2025-10-19 01:08:59,2025-10-19 02:43:57,1.15,13.89,Carolina Hurricanes
Boston Bruins @ Colorado Avalanche,NHL,Boston Bruins,2025-10-18 21:08:39,Fanatics,5.75,2025-10-18 22:43:57,2025-10-19 01:08:39,2025-10-19 02:43:57,5.12,12.36,Colorado Avalanche
Florida State Seminoles @ Stanford Cardinal,NCAAF,Florida State Seminoles,2025-10-18 22:35:21,FanDuel,1.23,2025-10-18 22:43:57,2025-10-19 02:35:21,2025-10-19 02:43:57,1.15,7.01,Stanford Cardinal
Pittsburgh Penguins @ San Jose Sharks,NHL,San Jose Sharks,2025-10-18 22:11:12,Caesars,4.5,2025-10-18 23:40:09,2025-10-19 02:11:12,2025-10-19 03:40:09,3.81,17.99,Pittsburgh Penguins
Hokkaido Nippon-Ham Fighters @ Fukuoka SoftBank Hawks,NPB,Hokkaido Nippon-Ham Fighters,2025-10-19 00:00:00,FanDuel,2.86,2025-10-19 00:13:38,2025-10-19 04:00:00,2025-10-19 04:13:38,2.41,18.87,Hokkaido Nippon-Ham Fighters
Aston Villa @ Tottenham Hotspur,EPL,Aston Villa,2025-10-19 09:00:00,DraftKings,8.0,2025-10-19 09:29:31,2025-10-19 13:00:00,2025-10-19 13:29:31,6.45,24.03,Aston Villa
Manchester United @ Liverpool,EPL,Liverpool,2025-10-19 11:30:00,FanDuel,2.5,2025-10-19 11:35:40,2025-10-19 15:30:00,2025-10-19 15:35:40,1.73,44.14,Manchester United
Vancouver Canucks @ Washington Capitals,NHL,Washington Capitals,2025-10-19 12:38:19,DraftKings,2.14,2025-10-19 12:41:04,2025-10-19 16:38:19,2025-10-19 16:41:04,1.71,24.88,Vancouver Canucks
Las Vegas Raiders @ Kansas City Chiefs,NFL,Las Vegas Raiders,2025-10-19 13:03:00,BetMGM,7.5,2025-10-19 12:41:04,2025-10-19 17:03:00,2025-10-19 16:41:04,6.38,17.51,Kansas City Chiefs
Carolina Panthers @ New York Jets,NFL,New York Jets,2025-10-19 13:03:11,BetMGM,2.15,2025-10-19 13:08:03,2025-10-19 17:03:11,2025-10-19 17:08:03,1.99,8.05,Carolina Panthers
Philadelphia Eagles @ Minnesota Vikings,NFL,Minnesota Vikings,2025-10-19 13:02:38,DraftKings,2.35,2025-10-19 13:08:03,2025-10-19 17:02:38,2025-10-19 17:08:03,2.25,4.44,Philadelphia Eagles
New Orleans Saints @ Chicago Bears,NFL,Chicago Bears,2025-10-19 13:02:33,Caesars,1.59,2025-10-19 13:08:03,2025-10-19 17:02:33,2025-10-19 17:08:03,1.53,3.9,Chicago Bears
Miami Dolphins @ Cleveland Browns,NFL,Miami Dolphins,2025-10-19 13:02:25,FanDuel,8.5,2025-10-19 14:12:30,2025-10-19 17:02:25,2025-10-19 18:12:30,2.13,298.58,Cleveland Browns
New England Patriots @ Tennessee Titans,NFL,Tennessee Titans,2025-10-19 13:03:23,Fanatics,3.1,2025-10-19 14:12:30,2025-10-19 17:03:23,2025-10-19 18:12:30,2.68,15.49,New England Patriots
Indianapolis Colts @ Los Angeles Chargers,NFL,Los Angeles Chargers,2025-10-19 16:05:38,DraftKings,1.95,2025-10-19 16:10:02,2025-10-19 20:05:38,2025-10-19 20:10:02,1.78,9.53,Indianapolis Colts
Edmonton Oilers @ Detroit Red Wings,NHL,Edmonton Oilers,2025-10-19 15:10:19,FanDuel,8.5,2025-10-19 16:37:36,2025-10-19 19:10:19,2025-10-19 20:37:36,2.97,185.98,Detroit Red Wings
Washington Commanders @ Dallas Cowboys,NFL,Washington Commanders,2025-10-19 16:25:20,BetMGM,3.25,2025-10-19 16:37:36,2025-10-19 20:25:20,2025-10-19 20:37:36,2.12,52.94,Dallas Cowboys
Green Bay Packers @ Arizona Cardinals,NFL,Green Bay Packers,2025-10-19 16:25:23,Fanatics,1.35,2025-10-19 16:37:36,2025-10-19 20:25:23,2025-10-19 20:37:36,1.32,2.46,Green Bay Packers
New York Giants @ Denver Broncos,NFL,Denver Broncos,2025-10-19 16:05:30,DraftKings,2.75,2025-10-19 17:08:02,2025-10-19 20:05:30,2025-10-19 21:08:02,1.77,55.43,Denver Broncos
Boston Bruins @ Utah Mammoth,NHL,Boston Bruins,2025-10-19 19:08:47,DraftKings,4.4,2025-10-19 19:35:30,2025-10-19 23:08:47,2025-10-19 23:35:30,4.25,3.58,Utah Mammoth
Atlanta Falcons @ San Francisco 49ers,NFL,San Francisco 49ers,2025-10-19 20:22:59,FanDuel,2.4,2025-10-19 20:50:18,2025-10-20 00:22:59,2025-10-20 00:50:18,1.91,25.95,San Francisco 49ers
Seattle Mariners @ Toronto Blue Jays,MLB,Toronto Blue Jays,2025-10-19 20:04:00,FanDuel,1.32,2025-10-19 20:50:18,2025-10-20 00:04:00,2025-10-20 00:50:18,1.2,10.41,Toronto Blue Jays
Hokkaido Nippon-Ham Fighters @ Fukuoka SoftBank Hawks,NPB,Hokkaido Nippon-Ham Fighters,2025-10-20 05:00:00,BetMGM,8.25,2025-10-20 07:08:54,2025-10-20 09:00:00,2025-10-20 11:08:54,5.04,63.61,Fukuoka SoftBank Hawks
Tampa Bay Buccaneers @ Detroit Lions,NFL,Tampa Bay Buccaneers,2025-10-20 19:02:52,BetMGM,4.4,2025-10-20 19:09:21,2025-10-20 23:02:52,2025-10-20 23:09:21,3.45,27.44,Detroit Lions
Seattle Mariners @ Toronto Blue Jays,MLB,Toronto Blue Jays,2025-10-20 20:10:38,FanDuel,2.0,2025-10-20 20:46:19,2025-10-21 00:10:38,2025-10-21 00:46:19,1.93,3.66,Toronto Blue Jays
Hanwha Eagles @ Samsung Lions,KBO,Hanwha Eagles,2025-10-21 05:30:59,BetMGM,2.8,2025-10-21 06:11:08,2025-10-21 09:30:59,2025-10-21 10:11:08,2.36,18.85,Hanwha Eagles
Western Kentucky Hilltoppers @ Louisiana Tech Bulldogs,NCAAF,Western Kentucky Hilltoppers,2025-10-21 19:30:00,DraftKings,3.1,2025-10-21 19:09:37,2025-10-21 23:30:00,2025-10-21 23:09:37,2.76,12.46,Not Found
Kennesaw State Owls @ Florida International Panthers,NCAAF,Kennesaw State Owls,2025-10-21 19:05:28,BetMGM,1.91,2025-10-21 19:09:37,2025-10-21 23:05:28,2025-10-21 23:09:37,1.73,10.58,Not Found
Edmonton Oilers @ Ottawa Senators,NHL,Ottawa Senators,2025-10-21 19:08:23,BetMGM,3.6,2025-10-21 19:36:52,2025-10-21 23:08:23,2025-10-21 23:36:52,2.18,65.0,Edmonton Oilers
Seattle Kraken @ Washington Capitals,NHL,Seattle Kraken,2025-10-21 19:08:39,FanDuel,5.5,2025-10-21 19:36:52,2025-10-21 23:08:39,2025-10-21 23:36:52,5.31,3.67,Washington Capitals
Florida Panthers @ Boston Bruins,NHL,Boston Bruins,2025-10-21 19:38:50,FanDuel,7.0,2025-10-21 20:47:40,2025-10-21 23:38:50,2025-10-22 00:47:40,3.49,100.64,Florida Panthers
Columbus Blue Jackets @ Dallas Stars,NHL,Dallas Stars,2025-10-21 20:08:37,DraftKings,3.6,2025-10-21 20:47:40,2025-10-22 00:08:37,2025-10-22 00:47:40,2.12,69.69,Columbus Blue Jackets
Houston Rockets @ Oklahoma City Thunder,NBA,Oklahoma City Thunder,2025-10-21 19:43:24,DraftKings,2.3,2025-10-21 20:47:40,2025-10-21 23:43:24,2025-10-22 00:47:40,1.67,38.0,Oklahoma City Thunder
New Jersey Devils @ Toronto Maple Leafs,NHL,Toronto Maple Leafs,2025-10-21 19:08:03,Fanatics,9.0,2025-10-21 20:47:40,2025-10-21 23:08:03,2025-10-22 00:47:40,6.74,33.51,New Jersey Devils
San Jose Sharks @ New York Islanders,NHL,San Jose Sharks,2025-10-21 19:08:18,DraftKings,13.0,2025-10-21 20:47:40,2025-10-21 23:08:18,2025-10-22 00:47:40,11.01,18.08,New York Islanders
Golden State Warriors @ Los Angeles Lakers,NBA,Los Angeles Lakers,2025-10-21 22:17:41,FanDuel,2.4,2025-10-21 22:24:58,2025-10-22 02:17:41,2025-10-22 02:24:58,2.26,6.33,Golden State Warriors
Colorado Avalanche @ Utah Mammoth,NHL,Utah Mammoth,2025-10-21 22:20:46,BetMGM,3.8,2025-10-21 23:32:09,2025-10-22 02:20:46,2025-10-22 03:32:09,3.71,2.37,Utah Mammoth
Hanwha Eagles @ Samsung Lions,KBO,Hanwha Eagles,2025-10-22 05:30:00,BetMGM,2.85,2025-10-22 01:10:54,2025-10-22 09:30:00,2025-10-22 05:10:54,2.77,2.82,Samsung Lions
Cleveland Cavaliers @ New York Knicks,NBA,Cleveland Cavaliers,2025-10-22 19:13:20,Caesars,2.6,2025-10-22 19:35:16,2025-10-22 23:13:20,2025-10-22 23:35:16,2.1,23.84,New York Knicks
Toronto Raptors @ Atlanta Hawks,NBA,Toronto Raptors,2025-10-22 19:40:00,DraftKings,3.4,2025-10-22 19:35:16,2025-10-22 23:40:00,2025-10-22 23:35:16,2.85,19.16,Toronto Raptors
Brooklyn Nets @ Charlotte Hornets,NBA,Brooklyn Nets,2025-10-22 19:10:40,FanDuel,2.76,2025-10-22 19:35:16,2025-10-22 23:10:40,2025-10-22 23:35:16,2.52,9.58,Charlotte Hornets
Miami Heat @ Orlando Magic,NBA,Orlando Magic,2025-10-22 19:14:53,FanDuel,1.62,2025-10-22 19:35:16,2025-10-22 23:14:53,2025-10-22 23:35:16,1.53,5.8,Orlando Magic
Middle Tennessee Blue Raiders @ Delaware Blue Hens,NCAAF,Middle Tennessee Blue Raiders,2025-10-22 19:35:34,BetMGM,3.9,2025-10-22 20:45:46,2025-10-22 23:35:34,2025-10-23 00:45:46,2.8,39.49,Not Found
New Orleans Pelicans @ Memphis Grizzlies,NBA,Memphis Grizzlies,2025-10-22 20:12:46,Caesars,2.25,2025-10-22 20:45:46,2025-10-23 00:12:46,2025-10-23 00:45:46,2.07,8.93,Memphis Grizzlies
Detroit Pistons @ Chicago Bulls,NBA,Chicago Bulls,2025-10-22 20:13:55,Caesars,1.43,2025-10-22 20:45:46,2025-10-23 00:13:55,2025-10-23 00:45:46,1.31,8.83,Chicago Bulls
Los Angeles Clippers @ Utah Jazz,NBA,Utah Jazz,2025-10-22 21:10:00,DraftKings,4.7,2025-10-22 20:45:46,2025-10-23 01:10:00,2025-10-23 00:45:46,4.42,6.24,Utah Jazz
Missouri State Bears @ New Mexico State Aggies,NCAAF,New Mexico State Aggies,2025-10-22 21:00:00,BetMGM,2.3,2025-10-22 20:45:46,2025-10-23 01:00:00,2025-10-23 00:45:46,2.25,2.42,Missouri State Bears
San Antonio Spurs @ Dallas Mavericks,NBA,San Antonio Spurs,2025-10-22 21:50:00,Caesars,2.85,2025-10-22 22:20:37,2025-10-23 01:50:00,2025-10-23 02:20:37,2.2,29.68,San Antonio Spurs
Sacramento Kings @ Phoenix Suns,NBA,Sacramento Kings,2025-10-22 22:12:00,Fanatics,2.85,2025-10-22 22:20:37,2025-10-23 02:12:00,2025-10-23 02:20:37,2.51,13.72,Phoenix Suns
Minnesota Timberwolves @ Portland Trail Blazers,NBA,Portland Trail Blazers,2025-10-22 22:17:00,Caesars,2.2,2025-10-22 23:24:36,2025-10-23 02:17:00,2025-10-23 03:24:36,2.11,4.36,Minnesota Timberwolves
AS Monaco @ Hapoel Tel Aviv,Basketball Euroleague,AS Monaco,2025-10-23 14:05:00,BetMGM,2.85,2025-10-23 14:14:54,2025-10-23 18:05:00,2025-10-23 18:14:54,2.02,41.39,Not Found
Chicago Blackhawks @ Tampa Bay Lightning,NHL,Tampa Bay Lightning,2025-10-23 18:51:15,BetMGM,1.74,2025-10-23 19:09:16,2025-10-23 22:51:15,2025-10-23 23:09:16,1.4,23.97,Not Found
San Jose Sharks @ New York Rangers,NHL,New York Rangers,2025-10-23 19:08:47,FanDuel,2.46,2025-10-23 19:35:07,2025-10-23 23:08:47,2025-10-23 23:35:07,1.42,72.95,Not Found
Philadelphia Flyers @ Ottawa Senators,NHL,Philadelphia Flyers,2025-10-23 19:08:48,BetMGM,2.4,2025-10-23 19:35:07,2025-10-23 23:08:48,2025-10-23 23:35:07,1.76,36.08,Not Found
Utah Mammoth @ St Louis Blues,NHL,St Louis Blues,2025-10-23 20:08:32,Fanatics,18.0,2025-10-23 20:42:45,2025-10-24 00:08:32,2025-10-24 00:42:45,1.92,837.7,Not Found
Anaheim Ducks @ Boston Bruins,NHL,Boston Bruins,2025-10-23 19:11:14,FanDuel,3.4,2025-10-23 20:42:45,2025-10-23 23:11:14,2025-10-24 00:42:45,1.41,141.81,Not Found
Pittsburgh Penguins @ Florida Panthers,NHL,Florida Panthers,2025-10-23 19:13:11,BetMGM,5.5,2025-10-23 20:42:45,2025-10-23 23:13:11,2025-10-24 00:42:45,2.47,122.22,Not Found
Minnesota Vikings @ Los Angeles Chargers,NFL,Minnesota Vikings,2025-10-23 20:16:00,Fanatics,4.3,2025-10-23 20:42:45,2025-10-24 00:16:00,2025-10-24 00:42:45,3.79,13.34,Not Found
Vancouver Canucks @ Nashville Predators,NHL,Vancouver Canucks,2025-10-23 20:08:39,BetMGM,6.75,2025-10-23 22:17:13,2025-10-24 00:08:39,2025-10-24 02:17:13,2.09,223.51,Not Found
Oklahoma City Thunder @ Indiana Pacers,NBA,Indiana Pacers,2025-10-23 19:45:08,BetMGM,4.75,2025-10-23 22:17:13,2025-10-23 23:45:08,2025-10-24 02:17:13,1.59,198.06,Not Found
Seattle Kraken @ Winnipeg Jets,NHL,Winnipeg Jets,2025-10-23 20:08:44,FanDuel,3.8,2025-10-23 22:17:13,2025-10-24 00:08:44,2025-10-24 02:17:13,2.87,32.33,Not Found
Carolina Hurricanes @ Colorado Avalanche,NHL,Colorado Avalanche,2025-10-23 21:15:33,FanDuel,9.0,2025-10-23 22:17:13,2025-10-24 01:15:33,2025-10-24 02:17:13,8.0,12.5,Not Found
Los Angeles Kings @ Dallas Stars,NHL,Dallas Stars,2025-10-23 21:15:41,Fanatics,2.85,2025-10-23 22:17:13,2025-10-24 01:15:41,2025-10-24 02:17:13,2.64,8.01,Not Found
Edmonton Oilers @ Vancouver Canucks,NHL,Vancouver Canucks,2025-10-26 22:08:10,Caesars,2.25,2025-10-27 00:49:00,2025-10-27T02:08:10Z,2025-10-27 04:49:00,1.21,86.67,Not Found
