Match,League,Team,Start Time Est,Pinnacle Edge Book,Pinnacle Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Pinnacle Fair Odds,Pin Edge Pct,Result
Detroit Lions @ Kansas City Chiefs,NFL,Detroit Lions,2025-10-12 20:22:43,FanDuel,6.4,2025-10-12 22:08:27,2025-10-13 00:22:43,2025-10-13 02:08:27,2.67,140.0,Kansas City Chiefs
Seattle Mariners @ Toronto Blue Jays,MLB,Toronto Blue Jays,2025-10-12 20:04:45,Caesars,3.6,2025-10-12 22:08:27,2025-10-13 00:04:45,2025-10-13 02:08:27,2.31,56.12,Seattle Mariners
Miami Heat @ Atlanta Hawks,NBA Preseason,Miami Heat,2025-10-13 18:00:00,BetMGM,3.2,2025-10-13 15:22:49,2025-10-13 22:00:00,2025-10-13 19:22:49,2.93,9.19,Atlanta Hawks
Seattle Mariners @ Toronto Blue Jays,MLB,Seattle Mariners,2025-10-13 17:04:00,Caesars,2.1,2025-10-13 17:59:21,2025-10-13 21:04:00,2025-10-13 21:59:21,1.68,24.74,Seattle Mariners
Washington Wizards @ New York Knicks,NBA Preseason,New York Knicks,2025-10-13 19:30:00,FanDuel,1.58,2025-10-13 17:59:21,2025-10-13 23:30:00,2025-10-13 21:59:21,1.31,21.05,Washington Wizards
Buffalo Bills @ Atlanta Falcons,NFL,Buffalo Bills,2025-10-13 19:15:52,FanDuel,1.8,2025-10-13 19:25:14,2025-10-13 23:15:52,2025-10-13 23:25:14,1.55,16.2,Atlanta Falcons
Chicago Bears @ Washington Commanders,NFL,Washington Commanders,2025-10-13 20:16:00,FanDuel,2.02,2025-10-13 22:00:49,2025-10-14 00:16:00,2025-10-14 02:00:49,1.73,16.97,Chicago Bears
Los Angeles Dodgers @ Milwaukee Brewers,MLB,Los Angeles Dodgers,2025-10-13 20:08:00,Caesars,1.36,2025-10-13 23:08:13,2025-10-14 00:08:00,2025-10-14 03:08:13,1.07,26.83,Los Angeles Dodgers
SSG Landers @ Samsung Lions,KBO,SSG Landers,2025-10-14 05:30:00,BetMGM,2.6,2025-10-14 04:59:24,2025-10-14 09:30:00,2025-10-14 08:59:24,2.45,5.97,Samsung Lions
Detroit Pistons @ Cleveland Cavaliers,NBA Preseason,Detroit Pistons,2025-10-14 19:08:00,BetMGM,3.6,2025-10-14 18:59:23,2025-10-14 23:08:00,2025-10-14 22:59:23,3.49,3.3,Cleveland Cavaliers
Nashville Predators @ Toronto Maple Leafs,NHL,Nashville Predators,2025-10-14 19:07:58,DraftKings,6.5,2025-10-14 19:59:05,2025-10-14 23:07:58,2025-10-14 23:59:05,5.5,18.09,Toronto Maple Leafs
Seattle Kraken @ Montréal Canadiens,NHL,Seattle Kraken,2025-10-14 19:20:03,FanDuel,3.5,2025-10-14 19:59:05,2025-10-14 23:20:03,2025-10-14 23:59:05,3.23,8.3,Montreal Canadiens
Los Angeles Dodgers @ Milwaukee Brewers,MLB,Milwaukee Brewers,2025-10-14 20:09:00,Caesars,7.4,2025-10-14 22:04:00,2025-10-15 00:09:00,2025-10-15 02:04:00,5.46,35.49,Los Angeles Dodgers
